NewsPulse/7.4.2 FirebaseSDK/15.1.3 (com.news.pulse/3029483726; Windows/11; TQ3A.231005.002; Pixel 8; google; Pixel 8; 6.5; 2430x1080;)
SportsNow/9.2.9 UnitySDK/15.0.1 (com.yahoo.desktop.news/2022810025; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
YahooNews/2.7.0 UnitySDK/14.5.7 (com.weatherwatch.app/2023269557; Windows/11; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
BingNews/12.8.9 FirebaseSDK/14.5.7 (com.weatherwatch.app/2023127784; Chrome/OS; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
BingNews/14.2.5 AppsFlyerSDK/15.0.1 (com.microsoft.bing.news/2022943369; Windows/10; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
WeatherWatch/18.3.9 AppsFlyerSDK/15.0.1 (com.yahoo.desktop.news/2022780730; Windows/10; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
BingNews/19.3.8 AppsFlyerSDK/14.6.2 (com.weatherwatch.app/2022250149; Windows/11; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
BingNews/3.2.2 AdjustSDK/14.6.2 (com.google.microsoft.apps.magazines/2023075606; Chrome/OS; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
SportsNow/11.4.3 AppsFlyerSDK/14.6.2 (com.google.microsoft.apps.magazines/2022066839; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
SportsNow/14.0.6 UnitySDK/14.6.2 (com.sportsnow.app/2022719205; Windows/11; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
DailyDigest/13.1.7 AdjustSDK/15.0.1 (com.sportsnow.app/2023187436; Windows/NT; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
GoogleNews/18.1.9 AdjustSDK/14.5.7 (com.microsoft.bing.news/2022168265; Chrome/OS; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
DailyDigest/11.1.1 AdMobSDK/15.0.1 (com.dailydigest.reader/2023117027; Windows/10; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
BingNews/2.7.1 FirebaseSDK/14.6.2 (com.sportsnow.app/2023159372; Chrome/OS; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
BingNews/10.0.6 AdMobSDK/14.5.7 (com.dailydigest.reader/2023091061; Windows/10; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
BingNews/13.4.5 AppsFlyerSDK/14.5.7 (com.weatherwatch.app/2022650072; Windows/NT; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
GoogleNews/7.3.8 AdMobSDK/14.6.2 (com.travelguide.explorer/2022656790; Windows/11; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
YahooNews/8.2.4 AppsFlyerSDK/14.5.7 (com.dailydigest.reader/2023162893; Windows/10; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
DailyDigest/10.6.2 AdMobSDK/14.6.2 (com.travelguide.explorer/2022363324; Windows/10; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
SportsNow/3.8.8 FirebaseSDK/14.5.7 (com.microsoft.bing.news/2023210474; Chrome/OS; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
TravelGuide/8.7.1 UnitySDK/14.5.7 (com.yahoo.desktop.news/2023439680; Windows/10; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
YahooNews/12.2.5 FirebaseSDK/15.0.1 (com.microsoft.bing.news/2022272286; Chrome/OS; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
YahooNews/19.9.6 AdjustSDK/14.6.2 (com.dailydigest.reader/2022666870; Chrome/OS; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
DailyDigest/9.7.9 AppsFlyerSDK/14.5.7 (com.google.microsoft.apps.magazines/2023192405; Windows/11; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
SportsNow/8.1.7 AdjustSDK/15.0.1 (com.yahoo.desktop.news/2023774921; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
TravelGuide/19.8.9 UnitySDK/14.6.2 (com.microsoft.bing.news/2022968231; Windows/10; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
TravelGuide/20.9.9 UnitySDK/14.6.2 (com.yahoo.desktop.news/2022143492; Windows/NT; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
WeatherWatch/19.1.6 AppsFlyerSDK/15.0.1 (com.microsoft.bing.news/2023444017; Windows/10; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
WeatherWatch/17.2.3 UnitySDK/15.0.1 (com.dailydigest.reader/2023184360; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
DailyDigest/9.5.0 FirebaseSDK/15.0.1 (com.travelguide.explorer/2023822426; Windows/10; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
BingNews/8.3.1 UnitySDK/14.6.2 (com.yahoo.desktop.news/2023176837; Chrome/OS; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
YahooNews/1.6.2 AdMobSDK/14.6.2 (com.yahoo.desktop.news/2023577371; Windows/10; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/17.8.1 AppsFlyerSDK/15.0.1 (com.sportsnow.app/2023339595; Windows/10; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
SportsNow/6.7.4 AdjustSDK/14.5.7 (com.travelguide.explorer/2022404673; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
YahooNews/6.0.0 AdMobSDK/14.6.2 (com.weatherwatch.app/2023869355; Chrome/OS; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
GoogleNews/11.0.3 AppsFlyerSDK/14.6.2 (com.google.microsoft.apps.magazines/2023710064; Windows/NT; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
SportsNow/16.4.7 AdMobSDK/15.0.1 (com.google.microsoft.apps.magazines/2023926837; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
SportsNow/11.5.4 AdjustSDK/14.5.7 (com.weatherwatch.app/2023600252; Windows/11; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
SportsNow/12.4.4 AppsFlyerSDK/14.5.7 (com.yahoo.desktop.news/2022924247; Windows/NT; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
DailyDigest/11.5.2 FirebaseSDK/14.6.2 (com.google.microsoft.apps.magazines/2022687006; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
GoogleNews/8.5.6 AppsFlyerSDK/14.6.2 (com.sportsnow.app/2023319157; Windows/NT; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
YahooNews/5.0.8 FirebaseSDK/15.0.1 (com.travelguide.explorer/2022509010; Chrome/OS; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
GoogleNews/16.2.1 AdMobSDK/15.0.1 (com.yahoo.desktop.news/2022480327; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
SportsNow/6.1.8 UnitySDK/14.5.7 (com.yahoo.desktop.news/2022958831; Windows/10; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
GoogleNews/17.2.8 AppsFlyerSDK/15.0.1 (com.sportsnow.app/2023674394; Chrome/OS; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
TravelGuide/4.7.0 AdjustSDK/14.6.2 (com.sportsnow.app/2022675979; Windows/10; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
GoogleNews/5.9.1 AppsFlyerSDK/14.6.2 (com.sportsnow.app/2022768085; Windows/11; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
SportsNow/6.9.3 AppsFlyerSDK/14.6.2 (com.google.microsoft.apps.magazines/2022781577; Windows/11; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
GoogleNews/18.9.2 AppsFlyerSDK/14.6.2 (com.dailydigest.reader/2022703839; Windows/11; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
TravelGuide/4.9.5 UnitySDK/15.0.1 (com.microsoft.bing.news/2022367807; Windows/NT; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/18.5.1 UnitySDK/14.5.7 (com.google.microsoft.apps.magazines/2022475338; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
DailyDigest/8.7.2 AppsFlyerSDK/14.5.7 (com.dailydigest.reader/2023695792; Windows/NT; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
TravelGuide/5.5.3 UnitySDK/14.6.2 (com.dailydigest.reader/2022074759; Chrome/OS; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
YahooNews/13.2.8 AdMobSDK/15.0.1 (com.travelguide.explorer/2022695023; Chrome/OS; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
SportsNow/19.0.3 FirebaseSDK/14.6.2 (com.travelguide.explorer/2023314922; Windows/NT; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
DailyDigest/18.6.0 AdjustSDK/14.5.7 (com.weatherwatch.app/2022883753; Chrome/OS; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/15.0.8 FirebaseSDK/14.6.2 (com.weatherwatch.app/2022336659; Windows/11; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
WeatherWatch/11.0.8 AdMobSDK/14.5.7 (com.google.microsoft.apps.magazines/2022716879; Windows/10; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
DailyDigest/12.4.7 AppsFlyerSDK/14.5.7 (com.sportsnow.app/2022892741; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
TravelGuide/20.2.7 AppsFlyerSDK/14.5.7 (com.weatherwatch.app/2022488499; Windows/NT; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
BingNews/3.4.0 FirebaseSDK/14.5.7 (com.google.microsoft.apps.magazines/2022031309; Windows/NT; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
YahooNews/17.6.0 AdMobSDK/14.6.2 (com.microsoft.bing.news/2022159551; Windows/10; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
TravelGuide/19.7.9 AdMobSDK/15.0.1 (com.sportsnow.app/2023378434; Chrome/OS; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
WeatherWatch/20.3.1 AdMobSDK/14.5.7 (com.sportsnow.app/2023355653; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
WeatherWatch/18.3.6 AdjustSDK/15.0.1 (com.microsoft.bing.news/2022638002; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
WeatherWatch/17.3.3 AppsFlyerSDK/15.0.1 (com.yahoo.desktop.news/2022467031; Windows/NT; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
WeatherWatch/8.3.9 UnitySDK/15.0.1 (com.sportsnow.app/2022047039; Windows/10; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
TravelGuide/13.1.1 UnitySDK/14.6.2 (com.yahoo.desktop.news/2022153501; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
WeatherWatch/6.3.2 AdMobSDK/15.0.1 (com.travelguide.explorer/2023899674; Windows/11; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
YahooNews/20.3.8 AppsFlyerSDK/14.6.2 (com.travelguide.explorer/2022907651; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
GoogleNews/1.7.1 AdMobSDK/15.0.1 (com.travelguide.explorer/2023047798; Windows/11; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
WeatherWatch/2.5.1 FirebaseSDK/14.6.2 (com.google.microsoft.apps.magazines/2022976964; Chrome/OS; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
DailyDigest/11.7.0 UnitySDK/14.6.2 (com.travelguide.explorer/2023879282; Chrome/OS; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
SportsNow/17.4.2 AdjustSDK/14.6.2 (com.microsoft.bing.news/2023911157; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
TravelGuide/15.0.7 UnitySDK/14.5.7 (com.microsoft.bing.news/2023721997; Windows/10; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
DailyDigest/15.7.3 AppsFlyerSDK/15.0.1 (com.google.microsoft.apps.magazines/2023543420; Windows/11; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
YahooNews/2.3.4 FirebaseSDK/14.6.2 (com.yahoo.desktop.news/2023371400; Windows/11; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
BingNews/7.0.4 UnitySDK/14.5.7 (com.sportsnow.app/2022425150; Windows/NT; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
BingNews/18.4.5 FirebaseSDK/15.0.1 (com.weatherwatch.app/2023016702; Windows/10; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
BingNews/2.4.4 AdMobSDK/14.6.2 (com.yahoo.desktop.news/2023763590; Chrome/OS; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/8.8.3 AdjustSDK/15.0.1 (com.dailydigest.reader/2023661944; Windows/11; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
YahooNews/1.0.9 AdjustSDK/14.6.2 (com.travelguide.explorer/2023644737; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
TravelGuide/3.1.1 AdjustSDK/14.6.2 (com.google.microsoft.apps.magazines/2022066579; Windows/11; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
TravelGuide/6.6.1 FirebaseSDK/14.6.2 (com.sportsnow.app/2022512497; Chrome/OS; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
WeatherWatch/7.2.5 UnitySDK/15.0.1 (com.microsoft.bing.news/2022422179; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
WeatherWatch/20.8.7 AppsFlyerSDK/15.0.1 (com.google.microsoft.apps.magazines/2022729791; Windows/NT; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
YahooNews/19.2.5 AppsFlyerSDK/14.5.7 (com.microsoft.bing.news/2023350992; Windows/NT; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
DailyDigest/4.4.6 UnitySDK/15.0.1 (com.travelguide.explorer/2022808333; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
SportsNow/13.5.6 AppsFlyerSDK/15.0.1 (com.sportsnow.app/2023914848; Windows/11; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
BingNews/2.3.0 AppsFlyerSDK/15.0.1 (com.microsoft.bing.news/2022347495; Windows/10; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
BingNews/12.6.5 AppsFlyerSDK/15.0.1 (com.yahoo.desktop.news/2023826374; Chrome/OS; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/7.4.1 AdjustSDK/14.5.7 (com.weatherwatch.app/2023639968; Chrome/OS; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
WeatherWatch/2.6.3 AdMobSDK/14.5.7 (com.weatherwatch.app/2023234548; Windows/10; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
SportsNow/20.4.5 AdMobSDK/15.0.1 (com.sportsnow.app/2022852393; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
TravelGuide/19.5.3 AppsFlyerSDK/14.5.7 (com.dailydigest.reader/2022632946; Windows/10; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
BingNews/14.1.4 AppsFlyerSDK/15.0.1 (com.travelguide.explorer/2023919157; Chrome/OS; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
BingNews/8.5.3 AdMobSDK/15.0.1 (com.yahoo.desktop.news/2023739303; Windows/11; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
TravelGuide/4.8.8 UnitySDK/14.6.2 (com.google.microsoft.apps.magazines/2023055692; Windows/NT; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
GoogleNews/15.4.5 AdjustSDK/15.0.1 (com.dailydigest.reader/2022979512; Chrome/OS; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
DailyDigest/1.1.3 UnitySDK/14.5.7 (com.weatherwatch.app/2023351424; Windows/NT; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
WeatherWatch/9.1.2 AdMobSDK/14.6.2 (com.travelguide.explorer/2022696017; Windows/NT; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
YahooNews/15.6.5 AppsFlyerSDK/15.0.1 (com.weatherwatch.app/2023090604; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
DailyDigest/6.4.4 FirebaseSDK/15.0.1 (com.google.microsoft.apps.magazines/2023991816; Chrome/OS; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
BingNews/16.4.1 AdjustSDK/15.0.1 (com.yahoo.desktop.news/2023165419; Windows/10; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
YahooNews/9.1.3 FirebaseSDK/14.5.7 (com.sportsnow.app/2023946917; Chrome/OS; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
GoogleNews/12.9.6 AdjustSDK/15.0.1 (com.dailydigest.reader/2023391484; Windows/NT; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
YahooNews/17.0.1 FirebaseSDK/14.6.2 (com.microsoft.bing.news/2023857570; Chrome/OS; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
BingNews/17.5.5 FirebaseSDK/14.6.2 (com.google.microsoft.apps.magazines/2023241162; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
DailyDigest/9.9.9 AdjustSDK/14.5.7 (com.microsoft.bing.news/2023476501; Chrome/OS; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
TravelGuide/4.7.4 FirebaseSDK/15.0.1 (com.travelguide.explorer/2023659507; Windows/11; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
GoogleNews/17.8.8 AppsFlyerSDK/14.6.2 (com.sportsnow.app/2022266956; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
DailyDigest/1.9.8 AdjustSDK/14.6.2 (com.yahoo.desktop.news/2023677082; Windows/10; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
TravelGuide/1.0.6 AppsFlyerSDK/14.6.2 (com.yahoo.desktop.news/2022876942; Windows/10; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
YahooNews/13.5.7 AdjustSDK/14.5.7 (com.dailydigest.reader/2023548229; Windows/NT; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
SportsNow/4.5.3 FirebaseSDK/14.5.7 (com.weatherwatch.app/2022808535; Windows/NT; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
WeatherWatch/7.3.9 UnitySDK/15.0.1 (com.sportsnow.app/2023379188; Windows/11; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
YahooNews/8.8.7 AdMobSDK/14.6.2 (com.travelguide.explorer/2022963954; Windows/11; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
SportsNow/18.9.6 AppsFlyerSDK/15.0.1 (com.google.microsoft.apps.magazines/2023194428; Windows/NT; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
YahooNews/1.6.2 FirebaseSDK/14.6.2 (com.sportsnow.app/2023960480; Windows/NT; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
GoogleNews/15.1.8 AppsFlyerSDK/14.5.7 (com.travelguide.explorer/2023759435; Windows/11; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
BingNews/15.6.2 UnitySDK/15.0.1 (com.dailydigest.reader/2023023757; Windows/NT; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
SportsNow/10.1.7 AdjustSDK/15.0.1 (com.sportsnow.app/2023141787; Windows/11; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
SportsNow/19.5.3 AppsFlyerSDK/14.6.2 (com.travelguide.explorer/2023047210; Windows/10; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
YahooNews/17.5.5 FirebaseSDK/14.5.7 (com.google.microsoft.apps.magazines/2022707702; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
TravelGuide/4.1.8 AppsFlyerSDK/14.6.2 (com.yahoo.desktop.news/2022622181; Windows/11; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
BingNews/5.5.7 FirebaseSDK/14.5.7 (com.google.microsoft.apps.magazines/2023908840; Windows/10; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
YahooNews/4.1.4 UnitySDK/14.6.2 (com.travelguide.explorer/2023855235; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
BingNews/4.6.4 FirebaseSDK/14.5.7 (com.dailydigest.reader/2022189024; Windows/10; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
WeatherWatch/16.4.1 UnitySDK/14.5.7 (com.dailydigest.reader/2022067567; Windows/10; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
TravelGuide/12.2.3 AdjustSDK/15.0.1 (com.sportsnow.app/2022944236; Windows/11; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
BingNews/4.9.8 AppsFlyerSDK/14.5.7 (com.travelguide.explorer/2022037678; Windows/10; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
DailyDigest/13.0.7 AdMobSDK/14.5.7 (com.weatherwatch.app/2023218004; Windows/11; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
GoogleNews/13.2.6 FirebaseSDK/14.5.7 (com.microsoft.bing.news/2023842280; Windows/NT; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
WeatherWatch/12.6.1 UnitySDK/15.0.1 (com.sportsnow.app/2023954745; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
TravelGuide/11.5.7 AdjustSDK/14.6.2 (com.google.microsoft.apps.magazines/2023550178; Windows/10; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
SportsNow/20.3.4 UnitySDK/14.6.2 (com.travelguide.explorer/2022878182; Windows/10; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
WeatherWatch/16.6.1 FirebaseSDK/14.6.2 (com.dailydigest.reader/2022724776; Windows/10; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
TravelGuide/2.3.7 FirebaseSDK/14.5.7 (com.sportsnow.app/2022896115; Chrome/OS; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
SportsNow/12.1.3 AdMobSDK/14.5.7 (com.yahoo.desktop.news/2023527687; Chrome/OS; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
BingNews/11.9.7 FirebaseSDK/15.0.1 (com.weatherwatch.app/2023929131; Windows/NT; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
TravelGuide/19.9.4 AdMobSDK/15.0.1 (com.microsoft.bing.news/2023906006; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/6.3.5 AdMobSDK/14.5.7 (com.weatherwatch.app/2022192586; Windows/NT; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
SportsNow/6.0.6 AdMobSDK/14.5.7 (com.microsoft.bing.news/2023654363; Windows/10; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
WeatherWatch/9.5.8 FirebaseSDK/14.6.2 (com.yahoo.desktop.news/2023584877; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
TravelGuide/9.8.8 FirebaseSDK/14.6.2 (com.yahoo.desktop.news/2022204928; Windows/11; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
WeatherWatch/8.6.1 AdMobSDK/14.6.2 (com.weatherwatch.app/2022132415; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
BingNews/10.6.9 UnitySDK/15.0.1 (com.travelguide.explorer/2023301437; Chrome/OS; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
